Name,Rating,Cuisine,Discounts,Image URL,Link
California Pizza - Lucky One Mall,4.2(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Rs.600 off Rs.600,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/kiqz/california-pizza-lucky-one-mall
Ginsoy Live - Lucky One,4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vqdj/ginsoy-live-lucky-one
TU TU KITCHEN,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pdbq/tu-tu-kitchen
Hanifia - Lucky One Mall,4.2(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rpvz/hanifia-lucky-one-mall
Desi Chaat Corner,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v5ub/desi-chaat-corner
Zaid Food Center,2.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/obuv/zaid-food-center
Lettuce Thrill - Maymar,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/lm81/lettuce-thrill-maymar
Hyderabad Sandwich House,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/g4nf/hyderabad-sandwich-house-g4nf
Al-Khair Biryani & Pakwan,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/huxi/al-khair-biryani-and-pakwan
Marhaba Bar B.Q & Sheermal House,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w2bl/marhaba-bar-b-q-and-sheermal-house
Al Macca Super Burger,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"25% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gnx7/al-macca-super-burger
Khaani Roti House (Homechef),4.9(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,5% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w8nm/khaani-roti-house-homechef
Shokat Food Point,2.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/o3xp/shokat-food-point
Karachi Musafir Hotel,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Paratha,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/r6ln/karachi-musafir-hotel
Quetta Ajwa Hotel - Gulzar e Hijri,4.9(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ckpa/quetta-ajwa-hotel-gulzar-e-hijri
Super Burger And Bun Kabab,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rndq/super-burger-and-bun-kabab-rndq
Maa Kitchen,4.5(32)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pf5g/maa-kitchen
Friends Broast,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/d2ih/friends-broast
Azher Shermal House and Pakwan Centre,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a5a7/azher-shermal-house-and-pakwan-centre
Disco Nashta & Samosa Corner,4.8(79)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/wvid/disco-nashta-and-samosa-corner
Icelicious (Homechef),4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/l43p/icelicious-homechef
The Burger Bite,,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/y2fy/the-burger-bite-y2fy
Spice & Spoon,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/m6zd/spice-and-spoon-m6zd
Juice Bazaar,,Healthy Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sgrz/juice-bazaar
Laa Roti,5(66)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/dg23/laa-roti
Waqas Ghazi Pakwan Centre,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c14c/waqas-ghazi-pakwan-centre
"AL Kamal Sweets, Bakers & Nimco (Branch - 1)",4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nk0u/al-kamal-sweets-bakers-and-nimco-branch-1
Silver Rice,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/l164/silver-rice
flavor house,,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gpw0/flavor-house-gpw0
Shakeela's Kitchen,5(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a3to/shakeelas-kitchen
United Biryani,3.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/z4de/united-biryani
Nagori Flavoured Milk,4.9(62)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Healthy Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t2a3/nagori-flavoured-milk-t2a3
Lahori Nashta Point,4.3(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,30% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pjbc/lahori-nashta-point-pjbc
Imran Milk Shop & Juice Centre,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ktx2/imran-milk-shop-and-juice-centre
Al Naseeb Biryani And Pakwan Center,4.7(86)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/xqvk/al-naseeb-biryani-and-pakwan-center
Lunch Time (Homechef),4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/h9so/lunch-time-homechef
M.Z Kitchen,3.6(5)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/dgf1/m-z-kitchen
Cafe Desi,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pxy0/cafe-desi-pxy0
Homies Cafe,4.7(77)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c3bs/homies-cafe-c3bs
DESILICIOUS (Homechef),4.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/jqda/desilicious-homechef
Rawaaz Biryani House & Pakwan Centre,,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n426/rawaaz-biryani-house-and-pakwan-centre
Marhaba Cafe,4.7(32)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/mcpe/marhaba-cafe-mcpe
MASTER CHEF,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v6j5/master-chef-v6j5
Ammi ka Kitchen,4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 15% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/mkd9/ammi-ka-kitchen-mkd9
Muhammadi Dehli Sheermal House,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/m2fw/muhammadi-dehli-sheermal-house
Sarah's home food,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c38x/sarahs-home-food
Chaska Food,,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ld8m/chaska-food-ld8m
Shan Sweets,3.9(9)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/xwmj/shan-sweets
Hot n Chilli Roll BBQ,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/u7ev/hot-n-chilli-roll-bbq
Muhammadi Dehli Nihari Restaurant,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/o9zh/muhammadi-dehli-nihari-restaurant
Binoria Restaurant,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s9up/binoria-restaurant
Krave Diner,4.1(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e7ip/krave-diner
Ahmed Foods,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/glaf/ahmed-foods-glaf
LACHINE - Gulshan,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sh3r/lachine-gulshan
Shake Delight,4.1(37)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,"20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/krym/shake-delight
Shafiq Restaurant,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pox8/shafiq-restaurant-pox8
Quick Sip,3.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Beverages,25% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/x1p3/quick-sip
Cream & Crunch,,Cakes & Bakery,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/baqt/cream-and-crunch
Food Bank,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n5mf/food-bank-n5mf
Waqas Ghazi Biryani Centre,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t8aj/waqas-ghazi-biryani-centre
Ferdos Kitchen,4.6(34)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/zbrn/ferdos-kitchen
Karachi Broast - Rizvia,4.5(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v2yq/karachi-broast-rizvia
Ikigaii_pk - Maymar,4(24)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,10% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gd2i/ikigaii_pk-maymar
Super Subhan Allah Burger,4.8(44)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vv7j/super-subhan-allah-burger
Agha Hassan Juice Center (Rab Medical),4.9(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Healthy Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v8uf/agha-hassan-juice-center-rab-medical
Shakeistan,4(28)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/me29/shakeistan
Kashif Foods - Gulshan,4.8(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s0el/kashif-foods-gulshan
Al Madina Food's By Sahar,4.3(17)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cj8p/al-madina-foods-by-sahar
Zam Zam Peyala - Branch 11,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gvqh/zam-zam-peyala-branch-11
Dumpling Station,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nrh3/dumpling-station-nrh3
Meal Style,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nby2/meal-style
Tasty Fastfood & Bar B.B.Q,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,10% off Rs.199,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v8xl/tasty-fastfood-and-bar-b-b-q
Yellow Taxi Pizza Co.,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 40% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/y6w0/yellow-taxi-pizza-co-y6w0
Disco Sweets & Parathas,4.9(10000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s5qf/disco-sweets-and-parathas
Yuka Coffee,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sls0/yuka-coffee
Meraki - Gulshan,4.7(49)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ly18/meraki-gulshan
MARHABA BURGER,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pe0a/marhaba-burger-pe0a
Al Madina Biryani & Hotel,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/r71s/al-madina-biryani-and-hotel
AA Food Center - Rizvia,4.7(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n7og/aa-food-center-rizvia
Jolly Boba - Gulshan,4.7(74)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Beverages,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a0j3/jolly-boba-gulshan
Quetta Tea Star Cafe,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/z0zq/quetta-tea-star-cafe
Hot n Tasty Roll & BBQ - Disco Bakery,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t3gu/hot-n-tasty-roll-and-bbq-disco-bakery
MASHALLAH QUETTA BHAIJAN PAKWAN CENTRE & SHEERMAL HOUSE,4.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/wlyr/mashallah-quetta-bhaijan-pakwan-centre-and-sheermal-house
NIWALA,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"15% off Rs.199, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vzq6/niwala-vzq6
Caesar's Pizza - Gulshan,4.9(12)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/naii/caesars-pizza-gulshan
KIMCHI - Gulshan,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 25% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a57k/kimchi-gulshan
Pizza 363 - Gulshan - e - Iqbal,4.6(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cck4/pizza-363-gulshan-e-iqbal
Bhai Jaan Hotel,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/b5ev/bhai-jaan-hotel
Agha Raza Juice - Disco Gulshan,4.8(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Healthy Food,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v9of/agha-raza-juice-disco-gulshan
Quetta Bhai Jan Hotel,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/eirl/quetta-bhai-jan-hotel
House Of Waffles,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/libe/house-of-waffles
Red Apple - Gulshan,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Wraps & Rolls,25% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/qr56/red-apple-gulshan
Disco Bakers - Gulshan,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Savouries,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/orak/disco-bakers-gulshan
CAFE RAHAT,4.7(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/k6wc/cafe-rahat
Royal Taj - Gulshan,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/u3wr/royal-taj-gulshan
Aussie Burger Company - Gulshan,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/j52e/aussie-burger-company-gulshan
Pizza Bistro - Gulshan,5(6)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/yxua/pizza-bistro-gulshan
New Quetta Haji Akbar Hotel,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ker9/new-quetta-haji-akbar-hotel
Kaybees - Gulshan Iqbal,4.5(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s4xy/kaybees-gulshan-iqbal-s4xy
WOK'S,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/fukc/woks
New Quetta Haji Akbar Hoel,4.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nu15/new-quetta-haji-akbar-hoel
Mohsin Foods,4.8(15000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,25% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/q7gw/mohsin-foods
Ghazi Foods,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/msi7/ghazi-foods-msi7
Cafe Akbar Hotel (Gulshan),4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e4bz/cafe-akbar-hotel-gulshan
Bhashani Sweets Bakers Nimco - Gulshan,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/d3zk/bhashani-sweets-bakers-nimco-gulshan
New Mehfooz Sheermal & Tandoor,4.9(58)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/y50m/new-mehfooz-sheermal-and-tandoor
New o Premier Biryani,4.5(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t1bl/new-o-premier-biryani
Dehli Malik Nihari House,4.7(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t2di/dehli-malik-nihari-house
The Bakers Sweets and Nimco (Gulshan-e-Iqbal ),4.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v8po/the-bakers-sweets-and-nimco-gulshan-e-iqbal
XTRA (Your Hunger's Killer),4.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/qm6e/xtra-your-hungers-killer
Z-Six Sheermal and Bar B Q,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/f4ih/z-six-sheermal-and-bar-b-q
Bean & Bun,4.8(43)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/m1jv/bean-and-bun
Hussaini Sheermal House,,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rwtb/hussaini-sheermal-house
